episode,return,average_return,lines_cleared
159,-117.5,-106.50943396226415,0
160,-101.5,-106.478125,1
161,-83.0,-106.33229813664596,0
162,-116.0,-106.39197530864197,0
163,-93.5,-106.31288343558282,0
164,-100.0,-106.27439024390245,1
165,-129.5,-106.41515151515152,0
166,-117.5,-106.48192771084338,0
167,-50.0,-106.1437125748503,0
168,-83.0,-106.00595238095238,0
169,-171.5,-106.39349112426035,0
170,-91.0,-106.30294117647058,1
171,-68.0,-106.07894736842105,0
172,-135.5,-106.25,0
173,-98.5,-106.20520231213872,1
174,-128.0,-106.33045977011494,0
175,-73.0,-106.14,1
176,-118.0,-106.20738636363636,1
177,-78.5,-106.05084745762711,0
178,-86.0,-105.93820224719101,0
179,-111.5,-105.96927374301676,0
180,-138.0,-106.14722222222223,2
181,-75.5,-105.97790055248619,0
182,-122.0,-106.06593406593407,0
183,-80.0,-105.92349726775956,0
184,-160.0,-106.21739130434783,1
185,-80.0,-106.07567567567567,0
186,-71.0,-105.88709677419355,0
187,-99.5,-105.8529411764706,0
188,-65.0,-105.63563829787235,0
189,-98.0,-105.5952380952381,0
190,-89.0,-105.5078947368421,0
191,-50.0,-105.217277486911,0
192,-85.0,-105.11197916666667,1
193,-77.0,-104.96632124352331,0
194,-120.5,-105.04639175257732,0
195,-120.5,-105.12564102564103,0
196,-113.0,-105.16581632653062,0
197,-110.0,-105.19035532994924,0
198,-102.5,-105.17676767676768,0
199,-59.0,-104.94472361809045,0
200,-135.5,-105.0975,0
201,-106.0,-105.10199004975124,1
202,-67.0,-104.91336633663366,1
203,-69.5,-104.73891625615764,0
204,-131.0,-104.86764705882354,0
205,-83.0,-104.7609756097561,0
206,-117.5,-104.82281553398059,0
207,-77.0,-104.68840579710145,0
208,-59.0,-104.46875,0
209,-72.5,-104.3157894736842,0
210,-128.0,-104.42857142857143,0
211,-59.5,-104.21563981042654,1
212,-123.5,-104.30660377358491,0
213,-66.5,-104.12910798122066,0
214,-83.0,-104.0303738317757,0
215,-89.0,-103.96046511627907,0
216,-119.0,-104.0300925925926,0
217,-94.0,-103.98387096774194,1
218,-114.5,-104.03211009174312,0
219,-93.5,-103.98401826484019,0
220,-75.5,-103.85454545454546,0
221,-158.0,-104.09954751131222,0
222,-116.5,-104.1554054054054,1
223,-99.5,-104.13452914798206,0
224,-83.0,-104.04017857142857,0
225,-107.0,-104.05333333333333,0
226,-80.5,-103.94911504424779,1
227,-54.5,-103.73127753303964,0
228,-101.0,-103.71929824561404,0
229,-79.0,-103.61135371179039,1
230,-65.0,-103.44347826086957,0
231,-113.0,-103.48484848484848,0
232,-105.5,-103.49353448275862,0
233,-124.0,-103.58154506437768,1
234,-125.0,-103.67307692307692,0
235,-116.0,-103.72553191489362,0
236,-89.0,-103.66313559322033,0
237,-135.5,-103.79746835443038,0
238,-125.0,-103.88655462184875,0
239,-110.0,-103.91213389121339,0
240,-69.5,-103.76875,0
241,-92.0,-103.71991701244814,0
242,-73.0,-103.59297520661157,1
243,-83.0,-103.5082304526749,0
244,-103.0,-103.5061475409836,1
245,-117.5,-103.56326530612245,0
246,-91.0,-103.51219512195122,1
247,-111.5,-103.54453441295547,0
248,-74.0,-103.42540322580645,0
249,-121.0,-103.49598393574297,1
250,-135.5,-103.624,0
251,-110.5,-103.65139442231076,1
252,-104.0,-103.65277777777777,0
253,-111.5,-103.68379446640316,0
254,-101.5,-103.6751968503937,1
255,-71.5,-103.54901960784314,1
256,-50.0,-103.33984375,0
257,-89.0,-103.284046692607,0
258,-83.0,-103.20542635658914,0
259,-152.0,-103.39382239382239,0
260,-129.5,-103.49423076923077,0
261,-148.0,-103.66475095785441,1
262,-74.0,-103.55152671755725,0
263,-81.5,-103.46768060836501,0
264,-98.0,-103.4469696969697,0
265,-113.0,-103.48301886792453,0
266,-60.5,-103.32142857142857,0
267,-84.5,-103.25093632958801,0
268,-87.5,-103.19216417910448,0
269,-59.0,-103.0278810408922,0
270,-93.5,-102.99259259259259,0
271,-71.0,-102.87453874538745,0
272,-120.5,-102.93933823529412,0
273,-122.5,-103.01098901098901,1
274,-132.5,-103.11861313868613,0
275,-104.5,-103.12363636363636,1
276,-100.0,-103.1123188405797,1
277,-77.0,-103.01805054151625,0
278,-89.0,-102.96762589928058,0
279,-117.5,-103.01971326164875,0
280,-132.5,-103.125,0
281,-107.0,-103.13879003558719,0
282,-98.0,-103.12056737588652,0
283,-95.0,-103.09187279151944,0
284,-80.0,-103.0105633802817,0
285,-59.0,-102.8561403508772,0
286,-81.5,-102.78146853146853,0
287,-87.5,-102.72822299651568,0
288,-88.0,-102.67708333333333,1
289,-70.0,-102.56401384083046,1
290,-87.5,-102.51206896551724,0
291,-83.5,-102.44673539518901,1
292,-71.0,-102.33904109589041,0
293,-86.0,-102.28327645051195,0
294,-107.0,-102.29931972789116,0
295,-128.0,-102.3864406779661,0
296,-77.0,-102.30067567567568,0
297,-65.0,-102.17508417508418,0
298,-35.0,-101.9496644295302,0
299,-114.5,-101.99163879598662,0
300,-150.5,-102.15333333333334,0
301,-90.5,-102.11461794019934,0
302,-90.5,-102.07615894039735,0
303,-114.5,-102.11716171617162,0
304,-72.5,-102.01973684210526,0
305,-79.0,-101.94426229508197,1
306,-85.0,-101.88888888888889,1
307,-90.5,-101.85179153094462,0
308,-114.5,-101.89285714285714,0
309,-77.0,-101.81229773462783,0
310,-125.0,-101.88709677419355,0
311,-96.5,-101.86977491961414,0
312,-63.5,-101.74679487179488,0
313,-92.0,-101.71565495207668,0
314,-68.0,-101.60828025477707,0
315,-129.5,-101.6968253968254,0
316,-59.0,-101.5617088607595,0
317,-71.5,-101.46687697160883,1
318,-102.5,-101.47012578616352,0
319,-98.0,-101.45924764890282,0
320,-132.5,-101.55625,0
321,-62.0,-101.43302180685359,0
322,-78.5,-101.36180124223603,0
323,-42.5,-101.17956656346749,0
324,-105.5,-101.1929012345679,0
325,-71.0,-101.1,0
326,-79.0,-101.03220858895706,1
327,-77.5,-100.96024464831804,1
328,-116.0,-101.0060975609756,0
329,-101.0,-101.00607902735563,0
330,-89.0,-100.96969696969697,0
331,-108.5,-100.99244712990937,0
332,-81.5,-100.93373493975903,0
333,-113.0,-100.96996996996997,0
334,-107.0,-100.9880239520958,0
335,-83.0,-100.93432835820896,0
336,-125.0,-101.00595238095238,0
337,-87.5,-100.96587537091987,0
338,-53.5,-100.82544378698225,1
339,-69.5,-100.7330383480826,0
340,-115.0,-100.775,1
341,-93.5,-100.75366568914956,0
342,-99.5,-100.75,0
343,-111.5,-100.78134110787173,0
344,-98.0,-100.77325581395348,0
345,-140.0,-100.88695652173914,0
346,-84.5,-100.83959537572254,0
347,-114.5,-100.87896253602305,0
348,-140.0,-100.99137931034483,0
349,-59.0,-100.87106017191977,0
350,-65.0,-100.76857142857143,0
351,-111.5,-100.7991452991453,0
352,-122.5,-100.86079545454545,1
353,-65.0,-100.75920679886686,0
354,-132.5,-100.84887005649718,0
355,-95.0,-100.83239436619718,0
356,-101.0,-100.83286516853933,0
357,-113.0,-100.86694677871148,0
358,-56.0,-100.74162011173185,0
359,-106.0,-100.75626740947075,1
360,-71.0,-100.67361111111111,0
361,-120.5,-100.72853185595568,0
362,-74.0,-100.65469613259668,0
363,-105.5,-100.66804407713498,0
364,-108.5,-100.68956043956044,0
365,-76.0,-100.62191780821918,1
366,-98.0,-100.61475409836065,0
367,-139.0,-100.71934604904632,1
368,-54.5,-100.59375,0
369,-54.5,-100.46883468834689,0
370,-146.0,-100.59189189189189,0
371,-101.5,-100.59433962264151,1
372,-93.5,-100.5752688172043,0
373,-63.5,-100.47587131367293,0
374,-71.5,-100.39839572192513,1
375,-77.0,-100.336,0
376,-136.0,-100.43085106382979,1
377,-56.0,-100.3129973474801,0
378,-82.0,-100.26455026455027,1
379,-78.5,-100.2071240105541,0
380,-101.5,-100.21052631578948,1
381,-64.0,-100.11548556430446,1
382,-104.0,-100.12565445026178,0
383,-99.5,-100.12402088772846,0
384,-76.0,-100.06119791666667,1
