episode,return,average_return
1198,-554.5,-577.7121212121212
1199,-554.5,-577.5954773869347
1200,-554.5,-577.48
1201,-554.5,-577.3656716417911
1202,-538.0,-577.1707920792079
1203,-500.5,-576.7931034482758
1204,-500.5,-576.4191176470588
1205,-535.0,-576.2170731707317
1206,-500.5,-575.8495145631068
1207,-500.5,-575.4855072463768
1208,-655.0,-575.8677884615385
1209,-500.5,-575.5071770334928
1210,-500.5,-575.15
1211,-625.0,-575.3862559241707
1212,-500.5,-575.0330188679245
1213,-500.5,-574.6830985915493
1214,-680.5,-575.1775700934579
1215,-500.5,-574.8302325581395
1216,-608.5,-574.9861111111111
1217,-500.5,-574.6428571428571
1218,-697.0,-575.204128440367
1219,-500.5,-574.8630136986301
1220,-500.5,-574.525
1221,-500.5,-574.1900452488687
1222,-500.5,-573.8581081081081
1223,-829.0,-575.0022421524664
1224,-683.5,-575.4866071428571
1225,-635.5,-575.7533333333333
1226,-500.5,-575.4203539823009
1227,-545.5,-575.2885462555066
1228,-479.5,-574.8684210526316
1229,-565.0,-574.8253275109171
1230,-500.5,-574.5021739130435
1231,-646.0,-574.8116883116883
1232,-571.0,-574.7952586206897
1233,-500.5,-574.4763948497854
1234,-538.0,-574.3205128205128
1235,-500.5,-574.0063829787234
1236,-500.5,-573.6949152542373
1237,-622.0,-573.8987341772151
1238,-500.5,-573.5903361344538
1239,-500.5,-573.2845188284518
1240,-500.5,-572.98125
1241,-515.5,-572.7427385892116
1242,-575.5,-572.7541322314049
1243,-500.5,-572.4567901234568
1244,-673.0,-572.8688524590164
1245,-500.5,-572.5734693877552
1246,-2084.5,-578.719512195122
1247,-500.5,-578.4028340080972
1248,-500.5,-578.0887096774194
1249,-500.5,-577.777108433735
1250,-500.5,-577.468
1251,-640.0,-577.7171314741036
1252,-500.5,-577.4107142857143
1253,-500.5,-577.1067193675889
1254,-500.5,-576.8051181102362
1255,-518.5,-576.5764705882353
1256,-500.5,-576.279296875
1257,-500.5,-575.9844357976654
1258,-785.5,-576.796511627907
1259,-500.5,-576.5019305019305
1260,-500.5,-576.2096153846154
1261,-500.5,-575.919540229885
1262,-500.5,-575.6316793893129
1263,-578.5,-575.6425855513309
1264,-500.5,-575.3579545454545
1265,-560.5,-575.3018867924528
1266,-500.5,-575.0206766917294
1267,-500.5,-574.7415730337078
1268,-664.0,-575.0746268656717
1269,-500.5,-574.7973977695167
1270,-565.0,-574.7611111111111
1271,-706.0,-575.2453874538745
1272,-500.5,-574.9705882352941
1273,-667.0,-575.3076923076923
1274,-628.0,-575.5
1275,-500.5,-575.2272727272727
1276,-500.5,-574.9565217391304
1277,-538.0,-574.8231046931407
1278,-644.5,-575.0737410071943
1279,-673.0,-575.4247311827957
1280,-500.5,-575.1571428571428
1281,-500.5,-574.8914590747331
1282,-538.0,-574.7606382978723
1283,-500.5,-574.4982332155477
1284,-500.5,-574.237676056338
1285,-500.5,-573.978947368421
1286,-500.5,-573.722027972028
1287,-500.5,-573.4668989547039
1288,-500.5,-573.2135416666666
1289,-500.5,-572.9619377162629
1290,-500.5,-572.7120689655172
1291,-596.5,-572.7938144329897
1292,-500.5,-572.5462328767123
1293,-500.5,-572.3003412969283
1294,-479.5,-571.984693877551
1295,-500.5,-571.7423728813559
1296,-500.5,-571.5016891891892
1297,-500.5,-571.2626262626262
1298,-500.5,-571.0251677852349
1299,-500.5,-570.7892976588629
1300,-571.0,-570.79
1301,-703.0,-571.2292358803986
1302,-500.5,-570.9950331125827
1303,-500.5,-570.7623762376238
1304,-680.5,-571.1233552631579
1305,-553.0,-571.0639344262295
1306,-500.5,-570.8333333333334
1307,-479.5,-570.5358306188925
1308,-500.5,-570.3084415584416
1309,-536.5,-570.1990291262136
1310,-571.0,-570.2016129032259
1311,-500.5,-569.9774919614148
1312,-500.5,-569.7548076923077
1313,-616.0,-569.9025559105431
1314,-500.5,-569.6815286624204
1315,-556.0,-569.6380952380953
1316,-500.5,-569.4193037974684
1317,-529.0,-569.2917981072555
1318,-613.0,-569.4292452830189
1319,-571.0,-569.4341692789968
1320,-500.5,-569.21875
1321,-536.5,-569.1168224299065
1322,-571.0,-569.1226708074535
1323,-538.0,-569.0263157894736
1324,-475.0,-568.7361111111111
1325,-500.5,-568.5261538461539
1326,-500.5,-568.3174846625767
1327,-581.5,-568.3577981651376
1328,-709.0,-568.7865853658536
1329,-500.5,-568.5790273556231
1330,-500.5,-568.3727272727273
1331,-500.5,-568.1676737160121
1332,-692.5,-568.5421686746988
1333,-500.5,-568.3378378378378
1334,-500.5,-568.1347305389221
1335,-643.0,-568.3582089552239
1336,-571.0,-568.3660714285714
1337,-500.5,-568.1646884272997
1338,-500.5,-567.9644970414201
1339,-500.5,-567.7654867256637
1340,-500.5,-567.5676470588236
1341,-500.5,-567.3709677419355
1342,-500.5,-567.1754385964912
1343,-706.0,-567.5801749271137
1344,-548.5,-567.5247093023256
1345,-557.5,-567.4956521739131
1346,-659.5,-567.7615606936416
1347,-535.0,-567.6671469740634
1348,-500.5,-567.4741379310345
1349,-500.5,-567.28223495702
1350,-500.5,-567.0914285714285
1351,-500.5,-566.9017094017094
1352,-631.0,-567.0838068181819
1353,-500.5,-566.8951841359774
1354,-695.5,-567.2584745762712
1355,-958.0,-568.3591549295775
1356,-500.5,-568.1685393258427
1357,-698.5,-568.5336134453781
1358,-500.5,-568.3435754189944
1359,-607.0,-568.4512534818941
1360,-565.0,-568.4416666666667
1361,-500.5,-568.2534626038781
1362,-500.5,-568.0662983425415
1363,-616.0,-568.198347107438
1364,-500.5,-568.0123626373627
1365,-544.0,-567.9465753424657
1366,-500.5,-567.7622950819672
1367,-688.0,-568.0899182561308
1368,-500.5,-567.90625
1369,-581.5,-567.9430894308944
1370,-571.0,-567.9513513513514
1371,-734.5,-568.4002695417789
1372,-500.5,-568.2177419354839
1373,-464.5,-567.9396782841823
1374,-500.5,-567.75935828877
1375,-500.5,-567.58
1376,-544.0,-567.5172872340426
1377,-500.5,-567.3395225464191
1378,-515.5,-567.202380952381
1379,-500.5,-567.0263852242743
1380,-565.0,-567.021052631579
1381,-500.5,-566.8464566929134
1382,-548.5,-566.7984293193717
1383,-500.5,-566.6253263707572
1384,-500.5,-566.453125
1385,-572.5,-566.4688311688311
1386,-593.5,-566.5388601036269
1387,-500.5,-566.3682170542636
1388,-572.5,-566.3840206185567
1389,-880.0,-567.1902313624679
1390,-500.5,-567.0192307692307
1391,-646.0,-567.2212276214834
1392,-500.5,-567.0510204081633
1393,-544.0,-566.9923664122138
1394,-500.5,-566.8236040609137
1395,-500.5,-566.6556962025317
1396,-500.5,-566.4886363636364
1397,-500.5,-566.3224181360201
1398,-500.5,-566.1570351758794
1399,-560.5,-566.1428571428571
1400,-538.0,-566.0725
1401,-500.5,-565.9089775561097
1402,-500.5,-565.7462686567164
1403,-500.5,-565.5843672456575
1404,-500.5,-565.4232673267327
1405,-500.5,-565.262962962963
1406,-536.5,-565.192118226601
1407,-536.5,-565.1216216216217
1408,-500.5,-564.9632352941177
1409,-500.5,-564.8056234718827
1410,-514.0,-564.6817073170731
1411,-500.5,-564.5255474452555
1412,-556.0,-564.504854368932
1413,-542.5,-564.451573849879
1414,-571.0,-564.4673913043479
1415,-548.5,-564.4289156626506
1416,-631.0,-564.5889423076923
1417,-500.5,-564.4352517985611
1418,-500.5,-564.2822966507177
1419,-500.5,-564.1300715990453
1420,-688.0,-564.425
1421,-518.5,-564.3159144893111
1422,-571.0,-564.3317535545024
1423,-620.5,-564.4645390070922
1424,-475.0,-564.253537735849
1425,-584.5,-564.3011764705882
1426,-500.5,-564.1514084507043
1427,-500.5,-564.0023419203748
1428,-643.0,-564.1869158878504
1429,-500.5,-564.0384615384615
1430,-565.0,-564.0406976744187
1431,-556.0,-564.0220417633411
1432,-500.5,-563.875
1433,-500.5,-563.728637413395
1434,-523.0,-563.6347926267281
1435,-532.0,-563.5620689655173
1436,-500.5,-563.4174311926605
1437,-535.0,-563.3524027459954
1438,-608.5,-563.4554794520548
1439,-556.0,-563.4384965831435
1440,-596.5,-563.5136363636364
1441,-500.5,-563.3707482993198
1442,-682.0,-563.6391402714933
1443,-500.5,-563.4966139954853
1444,-722.5,-563.8547297297297
1445,-500.5,-563.7123595505618
1446,-580.0,-563.7488789237668
1447,-500.5,-563.6073825503356
1448,-560.5,-563.6004464285714
1449,-500.5,-563.4599109131403
1450,-500.5,-563.32
1451,-500.5,-563.180709534368
1452,-575.5,-563.20796460177
1453,-500.5,-563.0695364238411
1454,-500.5,-562.931718061674
1455,-500.5,-562.7945054945055
1456,-515.5,-562.6907894736842
1457,-607.0,-562.7877461706784
1458,-500.5,-562.6517467248908
1459,-971.5,-563.5424836601308
1460,-500.5,-563.4054347826087
1461,-500.5,-563.2689804772234
1462,-500.5,-563.1331168831168
1463,-500.5,-562.9978401727861
1464,-500.5,-562.8631465517242
1465,-685.0,-563.1258064516129
1466,-500.5,-562.9914163090128
1467,-500.5,-562.8576017130621
1468,-500.5,-562.724358974359
1469,-569.5,-562.7388059701492
1470,-500.5,-562.6063829787234
1471,-566.5,-562.6146496815287
1472,-500.5,-562.4830508474577
1473,-983.5,-563.3731501057082
1474,-500.5,-563.2405063291139
1475,-565.0,-563.2442105263158
1476,-556.0,-563.2289915966387
1477,-500.5,-563.0974842767296
1478,-500.5,-562.9665271966527
1479,-500.5,-562.8361169102296
1480,-475.0,-562.653125
1481,-475.0,-562.4708939708939
1482,-622.0,-562.594398340249
1483,-569.5,-562.6086956521739
1484,-574.0,-562.6322314049587
1485,-563.5,-562.6340206185567
1486,-544.0,-562.5956790123457
1487,-487.0,-562.4404517453798
1488,-487.0,-562.2858606557377
1489,-500.5,-562.1595092024539
1490,-500.5,-562.0336734693877
1491,-475.0,-561.8564154786151
1492,-500.5,-561.7317073170732
1493,-536.5,-561.6805273833671
1494,-500.5,-561.5566801619433
1495,-500.5,-561.4333333333333
1496,-500.5,-561.3104838709677
1497,-500.5,-561.1881287726358
1498,-554.5,-561.1746987951807
1499,-500.5,-561.0531062124248
1500,-500.5,-560.932
1501,-500.5,-560.811377245509
1502,-608.5,-560.906374501992
1503,-475.0,-560.7355864811133
1504,-517.0,-560.6488095238095
1505,-500.5,-560.5297029702971
1506,-500.5,-560.4110671936759
1507,-500.5,-560.292899408284
1508,-500.5,-560.1751968503937
1509,-625.0,-560.3025540275049
1510,-487.0,-560.1588235294117
1511,-545.5,-560.1301369863014
1512,-500.5,-560.013671875
1513,-776.5,-560.4356725146199
1514,-475.0,-560.2694552529183
1515,-529.0,-560.2087378640776
1516,-500.5,-560.0930232558139
1517,-517.0,-560.009671179884
1518,-676.0,-560.2335907335907
1519,-475.0,-560.0693641618498
1520,-475.0,-559.9057692307692
1521,-694.0,-560.1631477927064
1522,-475.0,-560.0
1523,-586.0,-560.0497131931166
1524,-578.5,-560.0849236641221
1525,-580.0,-560.1228571428571
1526,-607.0,-560.2119771863117
1527,-475.0,-560.050284629981
1528,-514.0,-559.9630681818181
1529,-475.0,-559.8024574669187
1530,-554.5,-559.7924528301887
1531,-571.0,-559.8135593220339
1532,-500.5,-559.702067669173
1533,-475.0,-559.5431519699812
1534,-577.0,-559.5758426966293
1535,-569.5,-559.5943925233645
1536,-493.0,-559.4701492537314
1537,-493.0,-559.3463687150838
1538,-527.5,-559.2871747211896
1539,-629.5,-559.417439703154
1540,-464.5,-559.2416666666667
1541,-487.0,-559.1081330868761
1542,-464.5,-558.9335793357934
1543,-464.5,-558.7596685082873
1544,-475.0,-558.6056985294117
1545,-544.0,-558.5788990825688
1546,-464.5,-558.4065934065934
1547,-464.5,-558.2349177330896
1548,-673.0,-558.4443430656934
1549,-476.5,-558.2950819672132
1550,-464.5,-558.1245454545455
1551,-475.0,-557.9736842105264
1552,-514.0,-557.8940217391304
1553,-514.0,-557.8146473779385
1554,-475.0,-557.6651624548737
1555,-487.0,-557.5378378378379
1556,-475.0,-557.3893884892086
1557,-718.0,-557.677737881508
1558,-475.0,-557.5295698924731
1559,-475.0,-557.3819320214669
1560,-581.5,-557.425
1561,-487.0,-557.2994652406417
1562,-476.5,-557.1556939501779
1563,-475.0,-557.0097690941385
1564,-475.0,-556.8643617021277
1565,-475.0,-556.7194690265487
1566,-500.5,-556.6201413427561
1567,-500.5,-556.521164021164
1568,-620.5,-556.6338028169014
1569,-518.5,-556.5667838312829
1570,-476.5,-556.4263157894737
1571,-476.5,-556.2863397548161
1572,-475.0,-556.1442307692307
1573,-583.0,-556.1910994764398
1574,-475.0,-556.0496515679442
1575,-535.0,-556.0130434782609
1576,-494.5,-555.90625
1577,-530.5,-555.8622183708839
1578,-475.0,-555.7223183391003
1579,-701.5,-555.9740932642487
1580,-680.5,-556.1887931034482
1581,-494.5,-556.0826161790018
1582,-601.0,-556.159793814433
1583,-475.0,-556.0205831903945
1584,-475.0,-555.8818493150685
1585,-494.5,-555.776923076923
1586,-611.5,-555.8720136518772
1587,-475.0,-555.7342419080068
1588,-475.0,-555.5969387755102
1589,-475.0,-555.4601018675721
1590,-475.0,-555.3237288135593
1591,-475.0,-555.1878172588832
1592,-464.5,-555.0346283783783
1593,-475.0,-554.8996627318718
1594,-796.0,-555.3055555555555
1595,-475.0,-555.1705882352941
1596,-475.0,-555.0360738255033
1597,-475.0,-554.9020100502513
1598,-475.0,-554.7683946488295
1599,-476.5,-554.6377295492488
1600,-475.0,-554.505
1601,-476.5,-554.3752079866889
1602,-476.5,-554.2458471760797
1603,-476.5,-554.1169154228855
1604,-1243.0,-555.2574503311258
1605,-586.0,-555.3082644628099
1606,-475.0,-555.1757425742575
1607,-565.0,-555.1919275123558
1608,-475.0,-555.0600328947369
1609,-475.0,-554.9285714285714
1610,-475.0,-554.7975409836066
1611,-475.0,-554.6669394435352
1612,-563.5,-554.6813725490196
1613,-703.0,-554.9233278955954
1614,-565.0,-554.9397394136807
1615,-464.5,-554.7926829268292
1616,-500.5,-554.7045454545455
1617,-632.5,-554.8306320907617
1618,-500.5,-554.742718446602
1619,-487.0,-554.6332794830372
1620,-475.0,-554.5048387096774
1621,-520.0,-554.4492753623189
1622,-560.5,-554.4590032154341
1623,-592.0,-554.5192616372392
1624,-475.0,-554.3918269230769
1625,-565.0,-554.4088
1626,-545.5,-554.3945686900959
1627,-500.5,-554.3086124401914
1628,-475.0,-554.1823248407643
1629,-475.0,-554.056438791733
1630,-475.0,-553.9309523809524
1631,-475.0,-553.8058637083993
1632,-475.0,-553.681170886076
1633,-487.0,-553.5758293838862
1634,-487.0,-553.4708201892745
1635,-475.0,-553.3472440944881
1636,-475.0,-553.2240566037735
1637,-475.0,-553.1012558869702
1638,-476.5,-552.9811912225705
1639,-475.0,-552.8591549295775
1640,-607.0,-552.94375
1641,-475.0,-552.8221528861154
1642,-475.0,-552.7009345794393
1643,-487.0,-552.5987558320373
1644,-515.5,-552.541149068323
1645,-553.0,-552.5418604651163
1646,-592.0,-552.6029411764706
1647,-487.0,-552.501545595054
1648,-476.5,-552.3842592592592
1649,-476.5,-552.2673343605547
1650,-475.0,-552.1484615384616
1651,-541.0,-552.13133640553
1652,-475.0,-552.013036809816
1653,-487.0,-551.9134762633997
1654,-475.0,-551.795871559633
1655,-494.5,-551.7083969465649
1656,-862.0,-552.1814024390244
1657,-475.0,-552.0639269406392
1658,-517.0,-552.0106382978723
1659,-475.0,-551.8937784522003
1660,-475.0,-551.7772727272727
1661,-565.0,-551.7972768532527
1662,-487.0,-551.6993957703927
1663,-476.5,-551.5859728506788
1664,-988.0,-552.2432228915662
1665,-509.5,-552.1789473684211
1666,-475.0,-552.063063063063
1667,-476.5,-551.9497751124438
1668,-514.0,-551.8929640718563
1669,-491.5,-551.8026905829596
1670,-652.0,-551.9522388059702
1671,-643.0,-552.0879284649776
1672,-511.0,-552.0267857142857
1673,-548.5,-552.0215453194651
1674,-713.5,-552.2611275964392
1675,-487.0,-552.1644444444445
1676,-475.0,-552.0502958579882
1677,-464.5,-551.9209748892172
1678,-491.5,-551.8318584070796
1679,-476.5,-551.720913107511
1680,-475.0,-551.6080882352941
1681,-475.0,-551.4955947136564
1682,-475.0,-551.383431085044
1683,-475.0,-551.2715959004393
1684,-475.0,-551.1600877192982
1685,-536.5,-551.1386861313869
1686,-500.5,-551.0648688046647
1687,-475.0,-550.9541484716157
1688,-476.5,-550.8459302325581
1689,-475.0,-550.7358490566038
1690,-475.0,-550.6260869565217
1691,-487.0,-550.534008683068
1692,-475.0,-550.4248554913295
1693,-476.5,-550.3181818181819
1694,-476.5,-550.2118155619596
1695,-475.0,-550.1035971223022
1696,-475.0,-549.9956896551724
1697,-823.0,-550.3873744619799
1698,-541.0,-550.3739255014326
1699,-475.0,-550.2660944206009
1700,-647.5,-550.405
1701,-514.0,-550.3530670470756
1702,-563.5,-550.3717948717949
1703,-1058.5,-551.0945945945946
1704,-887.5,-551.5724431818181
1705,-697.0,-551.7787234042553
1706,-548.5,-551.7740793201133
1707,-476.5,-551.6676096181046
1708,-476.5,-551.5614406779661
1709,-605.5,-551.6375176304655
1710,-524.5,-551.5992957746479
1711,-476.5,-551.493670886076
1712,-475.0,-551.3862359550562
1713,-475.0,-551.2791023842917
1714,-487.0,-551.1890756302521
1715,-629.5,-551.2986013986014
1716,-518.5,-551.2527932960894
1717,-946.0,-551.8033472803347
1718,-475.0,-551.6963788300835
1719,-475.0,-551.5897079276773
1720,-475.0,-551.4833333333333
1721,-565.0,-551.502080443828
1722,-662.5,-551.6558171745153
1723,-532.0,-551.6286307053942
1724,-494.5,-551.5497237569061
1725,-475.0,-551.4441379310344
1726,-491.5,-551.3615702479339
1727,-541.0,-551.3473177441541
1728,-476.5,-551.2445054945055
1729,-476.5,-551.141975308642
1730,-475.0,-551.0376712328767
1731,-647.5,-551.1696306429549
1732,-476.5,-551.0676229508197
1733,-476.5,-550.9658935879945
1734,-475.0,-550.8623978201634
1735,-476.5,-550.761224489796
1736,-494.5,-550.6847826086956
1737,-851.5,-551.0929443690637
1738,-514.0,-551.0426829268292
1739,-475.0,-550.9397834912044
1740,-476.5,-550.8391891891891
1741,-494.5,-550.7631578947369
1742,-475.0,-550.661051212938
1743,-664.0,-550.8135935397039
1744,-476.5,-550.7137096774194
1745,-475.0,-550.6120805369128
1746,-547.0,-550.6072386058981
1747,-475.0,-550.5060240963855
1748,-464.5,-550.3910427807486
1749,-848.5,-550.7890520694259
1750,-494.5,-550.714
1751,-584.5,-550.7589880159787
1752,-494.5,-550.6841755319149
1753,-493.0,-550.6075697211155
1754,-475.0,-550.5072944297082
1755,-475.0,-550.4072847682119
1756,-1037.5,-551.0515873015873
1757,-514.0,-551.002642007926
1758,-512.5,-550.9518469656992
1759,-475.0,-550.8517786561265
1760,-475.0,-550.7519736842105
1761,-496.0,-550.6800262812089
1762,-494.5,-550.6062992125984
1763,-788.5,-550.9180865006554
1764,-475.0,-550.8187172774869
1765,-475.0,-550.7196078431373
1766,-544.0,-550.7108355091384
1767,-494.5,-550.6375488917862
1768,-661.0,-550.78125
1769,-476.5,-550.684655396619
1770,-709.0,-550.8902597402597
1771,-494.5,-550.817120622568
1772,-476.5,-550.7208549222798
1773,-541.0,-550.7082794307892
1774,-476.5,-550.6124031007752
1775,-476.5,-550.5167741935484
1776,-475.0,-550.4194587628866
1777,-494.5,-550.3474903474903
1778,-475.0,-550.2506426735218
1779,-595.0,-550.3080872913993
1780,-610.0,-550.3846153846154
1781,-475.0,-550.2880921895006
1782,-476.5,-550.1937340153453
1783,-475.0,-550.0977011494252
1784,-491.5,-550.0229591836735
1785,-476.5,-549.9292993630573
1786,-622.0,-550.0209923664122
1787,-476.5,-549.9275730622618
1788,-509.5,-549.876269035533
1789,-475.0,-549.7813688212927
1790,-476.5,-549.6886075949367
1791,-667.0,-549.8369152970923
1792,-512.5,-549.7897727272727
1793,-476.5,-549.6973518284993
1794,-514.0,-549.6523929471033
1795,-625.0,-549.7471698113208
1796,-584.5,-549.7908291457286
1797,-476.5,-549.6988707653701
1798,-547.0,-549.6954887218045
1799,-476.5,-549.6038798498123
1800,-539.5,-549.59125
1801,-658.0,-549.7265917602996
1802,-577.0,-549.7605985037407
1803,-475.0,-549.6674968866749
1804,-475.0,-549.5746268656717
1805,-512.5,-549.5285714285715
1806,-559.0,-549.5403225806451
1807,-637.0,-549.6486988847583
1808,-475.0,-549.5563118811881
1809,-475.0,-549.464153275649
1810,-563.5,-549.4814814814815
1811,-476.5,-549.3914919852034
1812,-652.0,-549.5178571428571
1813,-574.0,-549.5479704797048
1814,-475.0,-549.4563882063882
1815,-500.5,-549.3963190184049
1816,-476.5,-549.3069852941177
1817,-476.5,-549.2178702570379
1818,-464.5,-549.1143031784841
1819,-476.5,-549.025641025641
1820,-491.5,-548.9554878048781
1821,-476.5,-548.8672350791718
1822,-476.5,-548.779197080292
1823,-476.5,-548.6913730255164
1824,-475.0,-548.6019417475728
1825,-476.5,-548.5145454545454
1826,-559.0,-548.527239709443
1827,-475.0,-548.4383313180169
1828,-476.5,-548.3514492753624
1829,-598.0,-548.4113389626056
1830,-475.0,-548.3228915662651
1831,-511.0,-548.2779783393502
1832,-475.0,-548.1899038461538
1833,-743.5,-548.4243697478992
1834,-476.5,-548.3381294964029
1835,-475.0,-548.2502994011976
1836,-949.0,-548.7296650717703
1837,-476.5,-548.6433691756272
1838,-476.5,-548.5572792362768
1839,-476.5,-548.4713945172825
1840,-476.5,-548.3857142857142
